record - object_number,record - Title - title,record - Production - creator - name,record - Production - creator - birth.date.start,record - Production - creator - death.date.start,record - Dimension - dimension.unit - term,record - Dimension - dimension.type - term,record - Dimension - dimension.value,record - Material - material - term,record - institution.name - name,record - Object_name - object_name - term,record - Production - creator.date_of_birth,record - production.period - linkreffield,record - production.period - term,record - Production_date - production.date.start,record - Production_date - production.date.end,IRL,Rights
MID.B.295,Double vertical cube,Amador Rodríguez Menéndez,1926,2001-06-10,cm,hoogte,220,staal (materiaal),Middelheimmuseum (Antwerpen),sculpture,1926,production.period.lref,20ste eeuw (derde kwart),1972,1972,http://middelheimmuseum.be/collection/work/id/MID_B_295,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,100,paint (coating),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Double cube verticale,,,,cm,diepte,100,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Vertikaal dubbele kubus,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.494.A,74 WEATHERING WAY,Carl Andre,1935-09-16,,cm,hoogte,50,staal (materiaal),Middelheimmuseum (Antwerpen),vloersculptuur,1935-09-16,production.period.lref,21ste eeuw (eerste kwart),2001,2001,http://middelheimmuseum.be/collection/work/id/MID_B_494_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,50,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,thickness,0.5,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,dikte,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,1850,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,100,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,thickness,0.5,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,dikte,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.163,Two seated figures,Kenneth Armitage,1916-07-18,2002-01-22,cm,hoogte,104,bronze,Middelheimmuseum (Antwerpen),sculpture,1916-07-18,production.period.lref,20ste eeuw (derde kwart),1957,1957,http://middelheimmuseum.be/collection/work/id/MID_B_163,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,140,brons,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Deux figures assises,,,,cm,diepte,99,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Twee zittende figuren,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.468,Fragment,Joachim Bandau,1936-04-18,,cm,hoogte,270,Gusseisen,Middelheimmuseum (Antwerpen),sculpture,1936-04-18,production.period.lref,20ste eeuw (vierde kwart),1991,1992,http://middelheimmuseum.be/collection/work/id/MID_B_468,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,150,cast iron,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,80,fonte,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,ghisa,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,gietijzer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,hierro fundido,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.480.A,Romeinse straat,Guillaume Bijl,1946,,cm,hoogte,,rock (inorganic material),Middelheimmuseum (Antwerpen),installatie,1946,production.period.lref,20ste eeuw (vierde kwart),1994,1994,http://middelheimmuseum.be/collection/work/id/MID_B_480_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,,gesteente (materiaal),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,,mixed media,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,gemengde media,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.102,Endless Loop,Max Bill,1908-12-22,1994-12-09,cm,hoogte,117,bronze,Middelheimmuseum (Antwerpen),sculpture,1908-12-22,production.period.lref,20ste eeuw (tweede kwart),1935,1953,http://middelheimmuseum.be/collection/work/id/MID_B_102,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,108,brons,,beeldhouwwerk,,production.period.lref,20ste eeuw (derde kwart),,,,https://creativecommons.org/publicdomain/zero/1.0/
,Ruban sans fin,,,,cm,diepte,105,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Eindeloze kronkel,,,,cm,hoogte,62,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,210,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,110,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.117,Plastik,Walter Bodmer,1903,1973,cm,hoogte,139,iron,Middelheimmuseum (Antwerpen),rondsculptuur,1903,production.period.lref,20ste eeuw (derde kwart),1956,1956,http://middelheimmuseum.be/collection/work/id/MID_B_117,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,107,ijzer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Sculpture,,,,cm,diepte,105,paint (coating),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Plastik,,,,,,,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Plastiek,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.525,Beam Drop Antwerp,Chris Burden,1946-04-11,,m,hoogte,15.4,staal (materiaal),Middelheimmuseum (Antwerpen),installatie,1946-04-11,production.period.lref,21ste eeuw (eerste kwart),2009-05-30,2009,http://middelheimmuseum.be/collection/work/id/MID_B_525,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,breedte,13,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,diepte,23.2,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,m,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.218,Rotation,Nino Cassani,1930-05-15,,cm,hoogte,112,rock (inorganic material),Middelheimmuseum (Antwerpen),sculpture,1930-05-15,production.period.lref,20ste eeuw (derde kwart),1965,1965,http://middelheimmuseum.be/collection/work/id/MID_B_218,https://creativecommons.org/publicdomain/zero/1.0/
,Rotatie,,,,cm,breedte,123,gesteente (materiaal),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,46,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.296,Open Rhytms,Nino Cassani,1930-05-15,,cm,hoogte,66,rock (inorganic material),Middelheimmuseum (Antwerpen),sculpture,1930-05-15,production.period.lref,20ste eeuw (derde kwart),1972,1972,http://middelheimmuseum.be/collection/work/id/MID_B_296,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,153,gesteente (materiaal),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Rythmes ouverts,,,,cm,diepte,38,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Open ritmen,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.267,Mediterranean,Martín Chirino,1925-03-01,,cm,hoogte,130,iron,Middelheimmuseum (Antwerpen),sculpture,1925-03-01,production.period.lref,20ste eeuw (derde kwart),1969,1969,http://middelheimmuseum.be/collection/work/id/MID_B_267,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,425,ijzer,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,98,paint (coating),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,verf,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.491,Envelope,Tony Cragg,1949-04-09,,cm,lengte,238,bronze,Middelheimmuseum (Antwerpen),sculpture,1949-04-09,production.period.lref,20ste eeuw (vierde kwart),1996,1996,http://middelheimmuseum.be/collection/work/id/MID_B_491,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diameter,150,brons,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,diameter,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.470.A,Never Mind,Richard Deacon,1949-08-15,,cm,hoogte,310,beukenhout,Middelheimmuseum (Antwerpen),rondsculptuur,1949-08-15,production.period.lref,20ste eeuw (vierde kwart),1993,2017,http://middelheimmuseum.be/collection/work/id/MID_B_470_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,300,steel (alloy),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,lengte,765,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,roestvrij staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.LB.BK.02219,The Family Desmet in Heaven,Etienne Desmet,1943-12-21,,cm,hoogte,150,marble,Ministerie van de Vlaamse Gemeenschap (Brussel),sculpture,1943-12-21,production.period.lref,20ste eeuw (derde kwart),1972,,http://middelheimmuseum.be/collection/work/id/MID_LB_BK_02219,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,130,marmer,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,La Famille Desmet au Ciel,,,,cm,diepte,100,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,De familie Desmet in den Hemel,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.004.old,Assia,Charles Despiau,1874-11-04,1946-10-28,cm,hoogte,190,bronze,Middelheimmuseum (Antwerpen),standbeeld,1874-11-04,production.period.lref,20ste eeuw (tweede kwart),1937,1937,http://middelheimmuseum.be/collection/work/id/MID_B_004_old,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,55,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,45,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.004,Assia,Charles Despiau,1874-11-04,1946-10-28,cm,hoogte,190,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1874-11-04,production.period.lref,20ste eeuw (tweede kwart),1937,1937,http://middelheimmuseum.be/collection/work/id/MID_B_004,https://creativecommons.org/publicdomain/zero/1.0/
,Wind & de Wilgen,Lawrence Weiner,1942-02-10,,cm,breedte,55,brons,,muurschildering,1942-02-10,production.period.lref,20ste eeuw (vierde kwart),1995,1995,,https://creativecommons.org/publicdomain/zero/1.0/
,"IJZER & GOUD IN DE LUCHT
STUIFMEEL & ROOK OP DE GROND
IRON & GOLD IN THE AIR
DUST & SMOKE ON THE GROUND",,,,cm,diepte,45,LANGUAGE & THE MATERIALS REFERRED TO,Middelheimmuseum (Antwerpen),,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,276,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.061,Fountain,Arthur Dupon,1890-08-16,1972-09-05,cm,hoogte,97,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1890-08-16,production.period.lref,20ste eeuw (tweede kwart),1930,1930,http://middelheimmuseum.be/collection/work/id/MID_B_061,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,56,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fontaine,,,,cm,diepte,27,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fonteinmotief,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.149,Big Insect,Agenore Fabbri,1911-05-20,1998,cm,hoogte,110,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1911-05-20,production.period.lref,20ste eeuw (derde kwart),1957,1957,http://middelheimmuseum.be/collection/work/id/MID_B_149,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,43,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Grand insecte,,,,cm,diepte,74,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Groot insekt,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.481,The bathers,Luciano Fabro,1936-11-20,2007-06-22,cm,hoogte,200,marble,Middelheimmuseum (Antwerpen),beeldengroep,1936-11-20,production.period.lref,20ste eeuw (vierde kwart),1994,1994,http://middelheimmuseum.be/collection/work/id/MID_B_481,https://creativecommons.org/publicdomain/zero/1.0/
,Les Baigneuses,,,,cm,breedte,60,marmer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,De Badenden,,,,cm,diepte,10,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,210,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,59,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,25,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,180,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,55,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,19,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,158,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,44,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,19,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,147,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,40,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,19,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.482,Nudini,Luciano Fabro,1936-11-20,2007-06-22,cm,hoogte,80,marble,Middelheimmuseum (Antwerpen),installatie,1936-11-20,production.period.lref,20ste eeuw (vierde kwart),1994,1994,http://middelheimmuseum.be/collection/work/id/MID_B_482,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,18,marmer,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,6,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,hoogte,70,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,16,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,5,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.156,Bending Figure,Ernesto de Fiori,1884,1945,cm,hoogte,70,bronze,Middelheimmuseum (Antwerpen),sculpture,1884,production.period.lref,20ste eeuw (tweede kwart),1940,1940,http://middelheimmuseum.be/collection/work/id/MID_B_156,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,86,brons,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Figure inclinée,,,,cm,diepte,50,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Overbuigende figuur,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.606,Pièce à conviction,Michel François,1956,,cm,,243,rubber (material),Middelheimmuseum (Antwerpen),sculpture,1956,production.period.lref,21ste eeuw (eerste kwart),2012,2012,http://middelheimmuseum.be/collection/work/id/MID_B_606,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,,114,rubber,,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,steel (alloy),,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.471.B,Fenster,Isa Genzken,1948,,cm,hoogte,395,epoxyhars,Middelheimmuseum (Antwerpen),sculpture,1948,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_471_B,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,61,steel (alloy),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,119,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Window,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fenêtre,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Venster,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.471.A,Fenster,Isa Genzken,1948,,cm,hoogte,282,epoxyhars,Middelheimmuseum (Antwerpen),sculpture,1948,production.period.lref,20ste eeuw (vierde kwart),1993,1993,http://middelheimmuseum.be/collection/work/id/MID_B_471_A,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,breedte,51,steel (alloy),,beeldhouwwerk,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,cm,diepte,89,staal,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Window,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Fenêtre,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Venster,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.311,Forma concava convessa,Luigi Gheno,1930,,cm,hoogte,159,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1930,production.period.lref,20ste eeuw (derde kwart),1973,1973,http://middelheimmuseum.be/collection/work/id/MID_B_311,https://creativecommons.org/publicdomain/zero/1.0/
,Konkave konvexe Form,,,,cm,breedte,57,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Concavo-convex form,,,,cm,diepte,56,wood,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Forme concave convexe,,,,,,,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Concave convexe vorm,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.108,Grande Bagnante N°1,Emilio Greco,1913-10-11,1995-04-05,cm,hoogte,215,bronze,Middelheimmuseum (Antwerpen),rondsculptuur,1913-10-11,production.period.lref,20ste eeuw (derde kwart),1956,1956,http://middelheimmuseum.be/collection/work/id/MID_B_108,https://creativecommons.org/publicdomain/zero/1.0/
,Badende,,,,cm,breedte,70,brons,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Bathing woman,,,,cm,diepte,45,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Baigneuse,,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,Baadster (Grote Baadster I),,,,,,,,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
MID.B.520,Dabeisein ist alles,Kati Heck,1979,,,hoogte,350,polyester,Middelheimmuseum (Antwerpen),installatie,1979,production.period.lref,21ste eeuw (eerste kwart),2006,2006,http://middelheimmuseum.be/collection/work/id/MID_B_520,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,breedte,600,wood,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,diepte,600,hout,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,plastic,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
,,,,,,,,plastic,,,,,,,,,https://creativecommons.org/publicdomain/zero/1.0/
